year,age,sex,relig,abany,abpoor,abhlth,abrape
2006,83,2,2,2,1,1,1
2006,66,2,4,1,1,1,1
2006,65,2,1,1,1,1,1
2006,83,1,1,1,1,1,1
2006,65,1,4,1,1,1,1
2006,35,2,1,1,1,1,1
2006,61,2,1,2,2,1,1
2006,40,2,1,1,1,1,1
2006,50,1,4,2,2,1,1
2006,43,2,11,1,1,1,1
2006,36,2,1,1,1,1,1
2006,35,1,4,1,1,1,1
2006,22,2,4,1,1,1,1
2006,50,2,4,1,1,1,1
2006,62,2,1,2,2,1,2
2006,59,2,1,1,1,1,1
2006,44,2,4,2,2,1,1
2006,64,2,2,2,1,1,1
2006,49,2,2,2,2,1,1
2006,53,2,2,1,1,1,1
2006,42,2,1,2,2,1,2
2006,27,1,2,1,1,1,1
2006,59,2,4,1,1,1,1
2006,70,2,2,2,2,1,1
2006,82,2,13,2,2,1,1
2006,74,2,1,1,1,1,1
2006,53,1,11,1,1,1,1
2006,51,2,1,1,1,1,1
2006,57,2,1,1,1,1,1
2006,53,2,2,2,2,1,1
2006,34,2,1,1,1,1,1
2006,21,1,2,1,2,1,1
2006,57,2,2,2,2,2,2
2006,49,2,2,1,1,1,1
2006,44,1,1,2,2,2,2
2006,74,2,1,1,1,1,1
2006,54,2,1,1,2,1,1
2006,36,1,1,1,1,1,1
2006,33,2,1,2,2,1,2
2006,44,2,2,1,1,1,1
2006,38,2,2,1,2,1,1
2006,73,2,2,2,1,1,1
2006,83,2,1,1,2,1,1
2006,28,2,4,1,1,1,1
2006,47,1,5,1,1,1,1
2006,32,1,5,1,1,1,1
2006,78,2,4,1,1,1,1
2006,56,1,4,1,1,1,1
2006,32,2,1,1,1,1,1
2006,39,1,2,2,2,1,1
2006,52,1,4,1,1,1,1
2006,52,2,1,1,1,1,1
2006,47,2,6,1,1,1,1
2006,50,2,1,2,2,1,1
2006,42,1,2,1,1,1,1
2006,56,1,2,1,1,1,1
2006,79,1,1,1,2,1,1
2006,27,2,4,1,1,1,1
2006,23,2,4,1,1,1,1
2006,47,1,2,2,1,1,1
2006,68,2,1,2,2,1,1
2006,42,1,4,1,1,1,1
2006,43,2,2,1,1,1,1
2006,52,2,11,1,1,1,1
2006,44,2,1,2,2,2,2
2006,56,1,1,1,1,1,1
2006,33,1,4,1,1,1,1
2006,72,1,1,2,2,2,2
2006,71,2,1,1,1,1,1
2006,32,1,9,2,1,1,1
2006,58,2,4,1,1,1,1
2006,73,2,3,1,1,1,1
2006,86,2,1,1,1,1,1
2006,61,2,2,1,1,1,1
2006,56,2,4,2,2,1,2
2006,53,2,4,2,2,2,1
2006,59,2,1,2,2,2,2
2006,30,2,2,2,2,1,1
2006,48,1,1,2,2,1,1
2006,33,2,4,1,1,1,1
2006,52,1,10,1,1,1,1
2006,88,2,2,2,2,1,2
2006,88,1,2,2,2,2,2
2006,58,2,1,2,2,2,2
2006,60,1,2,2,2,1,1
2006,36,2,4,1,1,1,1
2006,58,1,4,2,2,1,1
2006,72,2,2,2,2,2,2
2006,40,1,1,2,2,1,2
2006,49,2,1,1,1,1,1
2006,48,1,2,2,2,1,1
2006,24,2,2,2,2,1,1
2006,52,2,2,1,1,1,1
2006,42,1,2,2,2,1,1
2006,48,2,1,1,1,1,1
2006,30,1,4,1,1,1,1
2006,23,2,4,2,2,1,1
2006,50,1,2,1,1,1,1
2006,35,2,1,1,1,1,1
